PoolID,Foundation_spp,Removal_Control,Before_After,Nuttalina.spp,Cyanoplax.hartwegii,Katharina.tunicata,Tonicella.spp,Leptochiton.spp,Mopalia.spp,Nucella.ostrina,Nucella.canaliculata,Ocinebria.lurida,Ceratostoma.foliatum,Nucella.lamellosa,Bittium.eschrichtii,Amphissa.spp,Callistoma.canaliculata,Lirabuccinum.dirum,Littorina.spp,Tegula.funebralis,Alia.carinata,Lottia.spp,Fissurella.volcano,Diodora.aspera,Tectura.persona,Acmaea.mitra,Pachygrapsus.crassipes,Hemigrapsus.nudus,Pagarus.spp,Pugettia.producta,Petrolisthes.spp,Cancer.spp,Heptacarpus.sitchensis,Idotea.spp,Anisodris.nobilis,Aeolidia.papillosa,Acanthodoris.nanaimoensis,Hermissenda.opalescens,Diaulula.sandiegensis,Eupentacta.quinquesemita,Strongylocentrotus.purpuratus,Henricia.spp,Pisaster.ochraceus,Leptasterias.hexactis,Brittle.star,Sculpin,Gunnel
1,Phyllospadix,Control,Immediate,,,,5,1,,,,,,,1,1,3,3,,,,101,,,,2,,,22,3,2,2,1,1,,,,,1,,54,,,,,9,1
2,Phyllospadix,Removal,Immediate,,,,3,,,,,,,,,,5,6,,15,,82,,,,1,,,15,,,1,1,,,,,,,,21,,2,,,,
3,Phyllospadix,Removal,Immediate,,,,16,,,,,,,,2,,8,3,,35,,106,,,,5,,,32,2,,,3,,,,,,,,7,,1,,,14,
4,Phyllospadix,Control,Immediate,,,,4,,,,,,,,1,,1,1,,2,,86,,,,3,,,58,4,,,,,,,,,,,17,,,,,6,1
5,Phyllospadix,Control,Immediate,,,,1,,2,1,,,,1,,,,2,6,4,1,17,,,,3,,,11,4,,1,,,,,,,,,2,,1,,,2,
6,Phyllospadix,Removal,Immediate,,,,2,,,,,,,,,,,,,1,,,,,,1,,,26,6,,1,,,,,,,,,19,,,1,,22,2
7,Phyllospadix,Removal,Immediate,,1,,,,,,,,,,,,1,,8,74,,6,,,,,,,22,5,,1,,,,,,,,,,,,,,22,1
8,Phyllospadix,Control,Immediate,,,,,,,,,,,,,,2,1,16,60,,20,,,,,,,46,5,,2,,,,,,,,,1,,,,,3,1
9,Mytilus,Control,Immediate,,1,,3,,,24,2,,1,,,1,1,,8,,,564,,1,,,,,11,,1,1,,,,,,,,,72,1,,11,1,16,
10,Mytilus,Removal,Immediate,3,,2,1,,1,,2,,,,,1,,,3,,1,54,,,,,,,14,,1,,,,,,,,,,27,,,,,20,
11,Mytilus,Removal,Immediate,3,,3,2,,2,6,11,,,,,1,,,,1,2,150,,1,,,1,,9,,,,,,,,,,1,,19,,,,,2,
12,Mytilus,Control,Immediate,,,,1,,,10,4,,,,,2,,,21,,,451,,,,,2,,4,,1,,,,,,,,,,7,,,3,,7,
13,Mytilus,Control,Immediate,4,,10,6,4,,27,4,,,,,,,,20,,,491,,,1,,,,32,,,1,,,,,,,,,84,,,3,,13,
14,Mytilus,Control,Immediate,,,1,1,,,7,,,,,,,1,,,,,51,,,2,,,,20,,,,,,,,,,,,20,,,,,4,
15,Mytilus,Removal,Immediate,1,,2,1,,3,9,1,,,,,,,,,,6,54,,,,,,,10,,,,,,,,,,,,8,,,1,,5,
16,Mytilus,Removal,Immediate,2,,6,,,1,44,14,,,,,,,,1160,2,,450,,1,2,,5,,12,,,,,,,,,,,,6,,,1,,31,1
17,Mytilus,Removal,Immediate,,,,1,,2,,,,,1,,3,1,1,10,13,,54,,,,,,,31,,,,,,,,,,,,61,,,,,5,
18,Phyllospadix,Control,Immediate,,2,,1,,7,8,,,,,1,1,,2,785,152,,464,,,,,1,,134,,,,,,,,,,,,132,,,,,17,
19,Mytilus,Control,Immediate,,1,,4,1,2,,,,,1,1,3,36,2,2,31,,346,,1,,,,,25,,,,,,,,,,,,272,2,1,7,,4,1
20,Phyllospadix,Control,Immediate,,2,,10,,,,,,,2,3,,6,3,97,164,,135,,,,10,,,161,15,,3,,,,,,,,,7,,,,,13,1
21,Phyllospadix,Removal,Immediate,,,,,,,,,,,,,,,,5,22,,18,,,,,,,19,,,,,,,,,,,,,,,,,4,
22,Phyllospadix,Removal,Immediate,,,,,,1,1,,,,,,,,,127,25,,66,,,,1,,,65,,,,,,,,,,,,15,,,,,10,1
23,Mytilus,Removal,Immediate,,,1,,,,7,2,,,,,,,,695,1,,217,,,,,,,82,1,,,,,,,,,,,17,,,2,,14,
24,Mytilus,Removal,Immediate,1,,1,3,,1,6,11,,,,,2,,,165,1,,202,,,,,,,13,,,,,,,,,,,,34,,,,,,
25,Mytilus,Control,Immediate,,,,,,1,7,4,,,,,4,,,36,12,,152,,,,,,,13,,,,,,,,,,,,7,,,3,,3,
26,Phyllospadix,Removal,Immediate,,1,,,,,,,,,,,,,1,,1,,9,,,,1,,,31,,,,,,,,,,,,7,,,1,,9,
27,Phyllospadix,Control,Immediate,,,,6,,,,,,,,,,7,3,5,,,18,,,,1,,,14,9,,,,2,,,,,,,50,,,,,7,
28,Phyllospadix,Removal,Immediate,,,,,,,,,,,,,,2,3,3,1,,3,,,,1,,,20,6,,1,,,,,,,,,19,,,1,,5,
29,Phyllospadix,Control,Immediate,,,,,,,,,,,,,4,4,,5,5,2,2,,,,,,,26,8,,1,,1,,,,,,,31,,,,,9,1
30,Mytilus,Control,Immediate,,,1,1,,,3,1,,,,,,,,,,,126,,,,,,,9,,,,,,,,,,,,12,,,3,,4,
31,Mytilus,Control,Immediate,,,4,2,,,3,1,,,,,,,,8,,,331,,,,,,,5,,,1,,1,,,,,,,15,,,6,,9,
32,Mytilus,Removal,Immediate,6,1,,,,7,1,4,,,,,6,,,5,,,139,,,,,,,22,,,,,,,,,,,,31,,,,,2,
1,Phyllospadix,Control,After,,,,14,1,,,,,,,,1,4,6,,11,1,122,,,,1,,,21,10,1,2,5,1,,,,,,,97,,1,,,8,4
2,Phyllospadix,Removal,After,,,,12,,,,,,,,1,1,6,2,,3,2,34,,,,2,,1,74,3,,2,92,2,,,,,,1,57,1,,,,25,
3,Phyllospadix,Removal,After,,1,,18,1,,1,,,,,2,1,7,5,,10,,98,,,,2,,1,70,9,,4,28,,,,,,,,172,,1,,,26,
4,Phyllospadix,Control,After,,,,5,,,,,,,,2,,,,,3,,51,,,,2,,,35,1,,1,13,1,,,,,,,48,,,,,7,
5,Phyllospadix,Control,After,,,,4,1,,,,,,1,,,4,2,,7,,42,,,,3,,,8,3,,1,11,2,,,,,,,2,,,,,6,
6,Phyllospadix,Removal,After,,,,2,,,,,,,,1,,,1,,2,,5,,,,2,,,36,1,,,11,,,,,,,,15,,,,,12,
7,Phyllospadix,Removal,After,,,,1,1,,,,,,,,,,3,13,29,,11,,,,,,,15,7,,4,12,,,1,,,,,,,1,,,16,
8,Phyllospadix,Control,After,,,,2,,,,,,,1,1,1,1,,1,45,23,20,,,,,,2,63,3,,,2,,,,,,,,,,,,,11,
9,Mytilus,Control,After,,,3,2,,4,15,1,,,,,,4,2,2,,,668,,,,,,10,79,,,1,,3,,,,,,,127,,,2,,18,
10,Mytilus,Removal,After,2,,1,1,,5,1,,,,,,1,,,3,,,48,,,,,,,9,,,,,,,,,,,,25,,,,,15,
11,Mytilus,Removal,After,1,,2,1,,3,8,,,,,,1,,,3,1,,82,,,,,,,10,,,,,,,,,,,,18,,,,,3,
12,Mytilus,Control,After,,,1,,,8,7,,,,,,3,2,2,358,1,,404,,,,,,8,11,,1,,,,,,,,,,13,,,2,,15,
13,Mytilus,Control,After,1,,10,6,,3,16,1,,,,,5,1,1,35,,,762,,,1,,,,8,,1,,,,,,,,,,104,,,5,,13,
14,Mytilus,Control,After,,,,4,,,,1,,,,,,2,,,,1,131,,,,,,2,10,,,,,,,,,,,,28,,,1,,,
15,Mytilus,Removal,After,,,5,2,,1,1,,,,,,,,,24,,,47,,,,,,,26,,,,,,1,,,,,,20,,1,,,7,
16,Mytilus,Removal,After,6,,4,2,1,7,88,1,1,,1,,2,2,3,9079,14,,1074,,,4,,,1,70,,1,3,,,,,,,,,15,,,1,,46,
17,Mytilus,Removal,After,,,,1,,,1,1,,,,1,1,8,,5,7,,,,,,,,,15,,,,1,,,,,,,,56,,,1,,2,1
18,Phyllospadix,Control,After,,,,,4,12,11,1,,,2,,5,2,,3374,197,4,550,,1,,,,,448,1,13,1,1,3,,,,,,,139,,,,,18,
19,Mytilus,Control,After,,1,,6,2,3,1,1,,,,3,4,17,5,4,17,,469,,,2,,,,26,,2,2,,2,,,,,,,248,,,,,6,1
20,Phyllospadix,Control,After,,,,10,3,1,,,,,,2,1,2,10,9,281,16,151,,,,8,,3,193,18,,4,3,,,,,,,1,6,1,,,,15,6
21,Phyllospadix,Removal,After,,,,1,,2,,,,,,,,,,10,21,,26,,,,1,,,15,,,,1,,,,,,,,,,,,,15,
22,Phyllospadix,Removal,After,,,,,2,,,,,,,1,,,,85,282,,133,,,,,,,70,,,,1,1,,,,,,,,,,,,21,
23,Mytilus,Removal,After,,3,5,,1,1,1,,,,,,2,,,1325,,,366,,,,,,,62,,1,,,,,,,,,,32,,1,,,12,
24,Mytilus,Removal,After,,,1,3,1,1,5,,,,,,1,2,,326,1,,208,,,,,,,18,,,,,,,,,,,,12,,,1,,12,
25,Mytilus,Control,After,,,,,1,,6,3,,,,1,2,4,1,175,7,,,,,2,,,1,39,,3,,,,,,,,,,5,,,,,11,
26,Phyllospadix,Removal,After,,,,2,3,,,,,,,1,,1,3,,,,17,,,,,,,18,2,,1,1,2,,,,,1,,21,,1,,,9,1
27,Phyllospadix,Control,After,1,,,7,1,,,,,,,,,7,,,,,24,,,,1,,,52,6,1,2,4,2,,,,1,,,60,,,3,,4,
28,Phyllospadix,Removal,After,,,,2,,,,,,,,,1,9,,2,,1,7,,,,1,,,24,3,,1,2,,,,1,,,,12,,,,,28,1
29,Phyllospadix,Control,After,,,,,,,,,,,,,,4,,1,4,11,11,,1,,,,,38,3,,,10,1,,,,,,,,,,,,10,2
30,Mytilus,Control,After,1,,2,1,2,3,5,,,,,,10,7,1,,,,244,,,,,,1,23,2,,1,,,,,,,,,47,,,9,,10,
31,Mytilus,Control,After,,,1,6,,1,10,,,,,,10,17,,4,,1,399,,,,,,2,30,,,2,,,,,,,,,46,,,5,,6,
32,Mytilus,Removal,After,4,,1,1,,13,2,4,,,,,3,2,,5,,,126,,,,,,,7,,,,,,,,,,,,39,,,,,5,
1,Phyllospadix,Control,Before,,,,6,,,,,,,,1,,1,1,,11,,2,,,,,,,9,4,,2,,1,,,,,,,89,,,,,3,
2,Phyllospadix,Removal,Before,,,,4,,1,,,,,,,,,,,18,,14,,,,,,,,,,,,1,,,,,,,69,1,,,,4,
3,Phyllospadix,Removal,Before,,,,10,,,,16,,,,1,,,2,,6,1,9,,,,4,,,11,4,,2,,,,,,,,,131,2,,,,2,
4,Phyllospadix,Control,Before,,,,4,,,,,,,,,,,1,,14,,5,1,,,,,,5,1,,,,,,,,,,,32,,,,,1,1
5,Phyllospadix,Control,Before,,,,,,,,,,,1,2,,,1,,9,,6,,,,3,,,14,6,,,2,,,,,,,,,,,,,,
6,Phyllospadix,Removal,Before,,,,,,,,2,,,,2,,,1,1,2,,2,,,,1,,,125,1,,,,2,,,,,,,11,,,,,5,
7,Phyllospadix,Removal,Before,,2,,,,1,4,,,,,,,,,,55,1,2,1,,,,,,50,8,1,,,3,,,,,,,,,,,,8,
8,Phyllospadix,Control,Before,,,,1,,,,,,,,,,,,33,34,,7,,,,,,,9,4,,1,,,,,,,,,,,,,,2,
9,Mytilus,Control,Before,,3,2,2,,2,11,5,,1,6,,,6,,,1,,422,,1,,,,,9,,,,,,,,,,,,82,,1,7,,,
10,Mytilus,Removal,Before,,,2,,,,3,4,,,,,6,,,5,1,,102,,,,,,,5,,1,,,,,,,,,,16,,,,,3,
11,Mytilus,Removal,Before,,,2,1,,,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,
12,Mytilus,Control,Before,,2,,3,,1,17,11,,,,,,,,,,,155,,,,,,,1,,2,,,,,,,,,,9,,,1,,,
13,Mytilus,Control,Before,,1,9,7,,,24,5,,,,,,,,,,,327,,,,,,,12,,3,,,,,,,,,,106,,3,3,,4,
14,Mytilus,Control,Before,,,1,2,,,5,,,,,,,,,3,,,35,,,,,,,5,,,1,,1,,,,,,,21,,,2,,,
15,Mytilus,Removal,Before,3,,2,1,,,18,,,,,,,,,7,,,89,,,,,,,3,,1,,,,,,,,,,,,,,,1,
16,Mytilus,Removal,Before,2,,5,,,2,13,5,,,,,,,,134,15,,370,,,,,,,14,,2,,,1,,,,,,,9,,1,,,10,
17,Mytilus,Removal,Before,,,,6,,2,,,,1,,,,5,,10,45,,81,,,,,,,4,,,1,,,,,,,,,95,,,,,,
18,Phyllospadix,Control,Before,,8,,1,,7,8,3,,,,,,,,392,148,3,246,,,,,,,155,,4,,,3,,,,,,,177,,,,,11,
19,Mytilus,Control,Before,,4,,5,,2,4,,,2,3,,,15,1,4,16,,400,,,,1,,,20,1,,,,,,,,,,,235,,,1,,2,
20,Phyllospadix,Control,Before,,1,,11,,1,4,2,1,,,,,,4,43,89,,135,,,,11,,,94,7,,4,,2,,,,,,,3,,1,,2,7,1
21,Phyllospadix,Removal,Before,,,,,,,1,,,,,2,,,,5,12,,41,,,,,,,29,3,,1,1,9,,,,,,,,,,,,4,
22,Phyllospadix,Removal,Before,,,,,,1,,,,,,3,,,,61,40,,43,,,,,,,38,1,,,,,,,,,,,,,,,,,
23,Mytilus,Removal,Before,,1,2,,,,52,,,,,,,,,165,1,,178,,,,1,,,33,,,,,,,,,,,,21,,,,,3,
24,Mytilus,Removal,Before,,,1,1,,,18,,,,,,,,,70,,,339,1,,,,,,2,,1,,,,,,,,,,10,,,,,1,
25,Mytilus,Control,Before,,,,,,,18,5,1,1,1,,,,1,7,7,,154,,,,,,,10,,,,,,,,,,,,2,,,1,,2,
26,Phyllospadix,Removal,Before,,1,,2,,,,5,,,,,,,1,5,,,25,,,,,,,2,5,,4,,,,,,,,,10,,,,,2,
27,Phyllospadix,Control,Before,,2,,4,,,,,,,,1,,8,,11,,,13,,,,,,,7,4,,1,1,,,,,,,,60,,,,1,6,
28,Phyllospadix,Removal,Before,,1,,3,,,,,1,,,,,4,,12,2,,9,,1,,,,,18,3,,1,1,2,,,,,,,21,,,1,,7,
29,Phyllospadix,Control,Before,,,,1,,,,,,,,,,,2,22,1,,5,,,,,,,30,8,,1,1,,,,,,,,1,,,,,4,1
30,Mytilus,Control,Before,1,,2,,,,3,2,,,,,,3,,,,,140,,,,,,,1,,,,,,,,,,,,20,,1,,1,5,
31,Mytilus,Control,Before,,,,,,1,6,,,,,,,1,3,,,,226,,,,,,,13,,,,,,,,,,,,37,,,1,,,
32,Mytilus,Removal,Before,,1,,1,,,6,6,,,,,,19,,,,,261,,,,,,,10,,,,,,,,,,,,54,,,2,,,