Species,Phylum,Class,Order,Functional_Group,paper
Diatoms,Ochrophyta,Bacillariophyceae,unk,Microalgae,SteneckDethier1994
Crustose.coralline,Rhodophyta,Florideophyceae,Corallinales,Crustose,SteneckDethier1994
Algae.film,unk,unk,unk,Microalgae,SteneckDethier1994
Turf.algae,unk,unk,unk,Filamentous,SteneckDethier1994
Noncoralline.crust,unk,unk,unk,Crustose,SteneckDethier1994
Bosiella.spp,Rhodophyta,Florideophyceae,Corallinales,ArticulatedCorallines,SteneckDethier1994
Calliarthron.tuberculosum,Rhodophyta,Florideophyceae,Corallinales,ArticulatedCorallines,SteneckDethier1995
Corallina.vancouveriensis,Rhodophyta,Florideophyceae,Corallinales,ArticulatedCorallines,SteneckDethier1996
Corallina.spp,Rhodophyta,Florideophyceae,Corallinales,ArticulatedCorallines,SteneckDethier1997
Acrosiphonia.coalita,Chlorophyta,Ulvophyceae,Ulotrichales,Filamentous,Bates2009
Analipus.japonicus,Ochrophyta,Phaeophyceae,Ralfsiales,CorticatedMacro,BatesDeWreede2007;Bates2009
Chaetomorpha.linum,Chlorophyta,Ulvophyceae,Cladophorales,Filamentous,Airoldi2001
Centroceras.Ceramium,Rhodophyta,Florideophyceae,Ceramiales,Filamentous,BatesDeWreede2007
Cladophora.columbiana,Chlorophyta,Ulvophyceae,Cladophorales,Filamentous,SteneckWatling1982
Cryptosiphonia.wooddii,Rhodophyta,Florideophyceae,Gigartinales,CorticatedMacro,BatesDeWreede2007;Bates2009
Costaria.costata,Ochrophyta,Phaeophyceae,Laminariales,LeatheryMacro,SteneckDethier1994
Cumagloia.andersonii,Rhodophyta,Florideophyceae,Nemaliales,CorticatedMacro,Nielsen2003
Erythrophyllum.delessrioides,Rhodophyta,Florideophyceae,Gigartinales,CorticatedMacro,AlgaeBase
Endocladia.muricata,Rhodophyta,Florideophyceae,Gigartinales,CorticatedMacro,Bates2009
Fucus.gardneri,Ochrophyta,Phaeophyceae,Fucales,LeatheryMacro,BatesDeWreede2007
Halosaccion.glandiforme,Rhodophyta,Florideophyceae,Palmariales,CorticatedFoliose,Bates2009
Pyropia.spp,Rhodophyta,Bangiophyceae,Bangiales,FoiloseAlgae,BatesDeWreede2007
Polysiphonia.spp,Rhodophyta,Florideophyceae,Ceramiales,Filamentous,SteneckWatling1982
Ptilota.spp,Rhodophyta,Florideophyceae,Ceramiales,CorticatedMacro,Nielsen2003
Cryptopluera.spp,Rhodophyta,Florideophyceae,Ceramiales,FoiloseAlgae,Garc’a-Fern‡ndezB‡rbara2016
Odonthalia.floccosa,Rhodophyta,Florideophyceae,Ceramiales,CorticatedMacro,BatesDeWreede2007
Microcladia.borealis,Rhodophyta,Florideophyceae,Ceramiales,CorticatedMacro,BatesDeWreede2007
Mazzaella.splendens,Rhodophyta,Florideophyceae,Gigartinales,CorticatedFoliose,BatesDeWreede2007;Bates2009
Mazzaella.flaccida,Rhodophyta,Florideophyceae,Gigartinales,CorticatedFoliose,BatesDeWreede2007;Bates2009
Mazzaella.oregona,Rhodophyta,Florideophyceae,Gigartinales,CorticatedFoliose,BatesDeWreede2007;Bates2009
Neorhodomela.larix,Rhodophyta,Florideophyceae,Ceramiales,CorticatedMacro,BatesDeWreede2007
Odanthalia.washingtoniensis,Rhodophyta,Florideophyceae,Ceramiales,CorticatedMacro,DugginsDethier1985
Scytosiphon.lomentaria,Ochrophyta,Phaeophyceae,Scytosiphonales,FoiloseAlgae,Nielsen2003
Osmundea.spectabilis,Rhodophyta,Florideophyceae,Ceramiales,CorticatedMacro,Mauffreyetal2020
Ulva.spp,Chlorophyta,Ulvophyceae,Ulvales,FoiloseAlgae,BatesDeWreede2007
Plocamium.pacificum,Rhodophyta,Florideophyceae,Plocamiales,CorticatedMacro,Mauffreyetal2020
Smithura.naiadum,Rhodophyta,Compsopogonophyceae,Erythropeltidales,FoiloseAlgae,LindbergandLindstrom2010
Mastocarpus,Rhodophyta,Florideophyceae,Gigartinales,CorticatedMacro,Mauffreyetal2020
Farlowia.mollis,Rhodophyta,Florideophyceae,Gigartinales,CorticatedMacro,HollenbergAbbott1968
Savoiea.robusta,Rhodophyta,Florideophyceae,Ceramiales,Filamentous,AlgaeBase
Palmaria.hecatensis,Rhodophyta,Florideophyceae,Palmariales,CorticatedFoliose,Garc’a-Fern‡ndezB‡rbara2016
Melobesia.mediocris,Rhodophyta,Florideophyceae,Corallinales,Crustose,SteneckDethier1994
Leathesia.marina,Ochrophyta,Phaeophyceae,Ectocarpales,CorticatedFoliose,Mauffreyetal2020
Callithamnion.pikeanum,Rhodophyta,Florideophyceae,Ceramiales,Filamentous,BatesDeWreede2007
Laminara.setchellii,Ochrophyta,Phaeophyceae,Laminariales,LeatheryMacro,SteneckDethier1994
Schizymenia.pacifica,Rhodophyta,Florideophyceae,Gigartinales,CorticatedFoliose,Garc’a-Fern‡ndezB‡rbara2016
Chthamalus,Arthropoda,Maxillopoda,Sessilia,SuspensionFeeder,Russelletal2016
Semibalanus.cariosus,Arthropoda,Maxillopoda,Sessilia,SuspensionFeeder,Russelletal2016
Balanus.nibulis,Arthropoda,Maxillopoda,Sessilia,SuspensionFeeder,Russelletal2016
Balanus.glandula,Arthropoda,Maxillopoda,Sessilia,SuspensionFeeder,Russelletal2016
Pollicipes.polymerus,Arthropoda,Maxillopoda,Sessilia,SuspensionFeeder,Russelletal2016
tube.worm,Annelida,Polychaeta,Canalipalpata,SuspensionFeeder,Russelletal2016
Ophlitaspongia.pennata,Porifera,Demospongiae,Poecilosclerida,SuspensionFeeder,Russelletal2016
Halichondria,Porifera,Demospongiae,Suberitida,SuspensionFeeder,Russelletal2016
Haliclona.permollis,Porifera,Demospongiae,Haplosclerida,SuspensionFeeder,Russelletal2016
Anthropluera.elegantissima,Cnidaria,Anthozoa,Actiniaria,Anemone,Russelletal2016
Anthropluera.xanthogrammica,Cnidaria,Anthozoa,Actiniaria,Anemone,Russelletal2016
Urticina.coriacea,Cnidaria,Anthozoa,Actiniaria,Anemone,Russelletal2016
Epiactis.prolifera,Cnidaria,Anthozoa,Actiniaria,Anemone,Russelletal2016
Anthopleura.artemisia,Cnidaria,Anthozoa,Actiniaria,Anemone,Russelletal2016
Stylantheca.spp,Cnidaria,Hydrozoa,Anthoathecata,SuspensionFeeder,Russelletal2016
AdjMusselCover,Mollusca,Bivalvia,Mytilida,SuspensionFeeder,Russelletal2016
AdjSurfgrassCover,Tracheophyta,Monocots,Alismatales,LeatheryMacro,AlgaeBase