PoolID,Foundation_spp,Removal_Control,Before_After,Perimeter,MaxDepth,LevelHeight,TideHeight,Squares,SurfaceArea,LoggerDepth
1,Phyllospadix,Control,Before,9.498,0.28,1.209675,0.927449,361,3.61,0.15
2,Phyllospadix,Removal,Before,6.88,0.28,1.196975,0.940149,198.5,1.985,0.295
3,Phyllospadix,Removal,Before,10.484,0.28,1.2065,0.930624,531,5.31,0.265
4,Phyllospadix,Control,Before,6.69,0.185,1.196975,0.940149,122.9,1.229,0.095
5,Phyllospadix,Control,Before,5.836,0.15,1.355725,0.781399,153.3,1.533,0.095
6,Phyllospadix,Removal,Before,3.48,0.13,1.2319,0.905224,68.3,0.683,0.065
7,Phyllospadix,Removal,Before,8.18,0.335,1.431925,0.705199,299,2.99,0.137
8,Phyllospadix,Control,Before,5.5,0.165,1.3589,0.778224,88.6,0.886,0.125
9,Mytilus,Control,Before,10.316,0.34,2.00025,1.114313001,645.3,6.453,0.125
10,Mytilus,Removal,Before,5.94,0.215,2.0066,1.107963001,204.2,2.042,0.215
11,Mytilus,Removal,Before,3.79,0.3,1.44145,1.673113001,106.2,1.062,0.225
12,Mytilus,Control,Before,7.63,0.225,1.781175,1.333388001,255.2,2.552,0.18
13,Mytilus,Control,Before,9.18,0.225,1.93675,1.177813001,416,4.16,0.165
14,Mytilus,Control,Before,3.9,0.17,2.2098,0.904763001,58.3,0.583,0.17
15,Mytilus,Removal,Before,4.17,0.175,2.2352,0.879363001,107,1.07,0.145
16,Mytilus,Removal,Before,15.57,0.295,1.343025,1.771538001,688,6.88,0.295
17,Mytilus,Removal,Before,4.26,0.23,1.050925,1.086199,110.7,1.107,0.123
18,Phyllospadix,Control,Before,12.94,0.405,1.4986,1.615963001,503.8,5.038,0.15
19,Mytilus,Control,Before,11.15,0.41,1.0668,1.070324,543.95,5.4395,0.205
20,Phyllospadix,Control,Before,11.66,0.41,1.1303,1.006824,464.65,4.6465,0.155
21,Phyllospadix,Removal,Before,7.202,0.135,1.0287,1.108424,217.95,2.1795,0.115
22,Phyllospadix,Removal,Before,10.37,0.14,0.99695,1.140174,403.2,4.032,0.075
23,Mytilus,Removal,Before,7.04,0.165,2.0701,1.044463001,159,1.59,0.16
24,Mytilus,Removal,Before,3.6,0.18,1.7018,1.412763001,98,0.98,0.13
25,Mytilus,Control,Before,3.85,0.28,1.108075,1.029049,114.3,1.143,0.21
26,Phyllospadix,Removal,Before,5.214,0.145,2.295525,0.819038001,120.3,1.203,0.066
27,Phyllospadix,Control,Before,4.912,0.26,2.2733,0.841263001,116.4,1.164,0.075
28,Phyllospadix,Removal,Before,7.05,0.175,2.3495,0.765063001,233.7,2.337,0.13
29,Phyllospadix,Control,Before,3.32,0.16,2.276221,0.838342001,75,0.75,0.125
30,Mytilus,Control,Before,5.19,0.135,1.905,1.209563001,158.5,1.585,0.105
31,Mytilus,Control,Before,8.794,0.21,1.9685,1.146063001,332.9,3.329,0.1
32,Mytilus,Removal,Before,8.546,0.31,1.9939,1.120663001,320.3,3.203,0.175
1,Phyllospadix,Control,After,9.498,0.28,1.209675,0.927449,361,3.61,0.15
2,Phyllospadix,Removal,After,6.88,0.28,1.196975,0.940149,248.6,2.486,0.295
3,Phyllospadix,Removal,After,10.484,0.28,1.2065,0.930624,615.2,6.152,0.265
4,Phyllospadix,Control,After,6.69,0.185,1.196975,0.940149,122.9,1.229,0.095
5,Phyllospadix,Control,After,5.836,0.15,1.355725,0.781399,153.3,1.533,0.095
6,Phyllospadix,Removal,After,3.48,0.13,1.2319,0.905224,68.3,0.683,0.065
7,Phyllospadix,Removal,After,8.18,0.335,1.431925,0.705199,308.3,3.083,0.137
8,Phyllospadix,Control,After,5.5,0.165,1.3589,0.778224,88.6,0.886,0.125
9,Mytilus,Control,After,10.316,0.34,2.00025,1.114313001,645.3,6.453,0.125
10,Mytilus,Removal,After,5.94,0.215,2.0066,1.107963001,220.5,2.205,0.215
11,Mytilus,Removal,After,3.79,0.3,1.44145,1.673113001,157.4,1.574,0.225
12,Mytilus,Control,After,7.63,0.225,1.781175,1.333388001,255.2,2.552,0.18
13,Mytilus,Control,After,9.18,0.225,1.93675,1.177813001,416,4.16,0.165
14,Mytilus,Control,After,3.9,0.17,2.2098,0.904763001,58.3,0.583,0.17
15,Mytilus,Removal,After,4.17,0.175,2.2352,0.879363001,150.4,1.504,0.145
16,Mytilus,Removal,After,15.57,0.295,1.343025,1.771538001,754,7.54,0.295
17,Mytilus,Removal,After,4.26,0.23,1.050925,1.086199,145.3,1.453,0.123
18,Phyllospadix,Control,After,12.94,0.405,1.4986,1.615963001,503.8,5.038,0.15
19,Mytilus,Control,After,11.15,0.41,1.0668,1.070324,543.95,5.4395,0.205
20,Phyllospadix,Control,After,11.66,0.41,1.1303,1.006824,464.65,4.6465,0.155
21,Phyllospadix,Removal,After,7.202,0.135,1.0287,1.108424,273.5,2.735,0.115
22,Phyllospadix,Removal,After,10.37,0.14,0.99695,1.140174,423.5,4.235,0.075
23,Mytilus,Removal,After,7.04,0.165,2.0701,1.044463001,219.4,2.194,0.16
24,Mytilus,Removal,After,3.6,0.18,1.7018,1.412763001,130.2,1.302,0.13
25,Mytilus,Control,After,3.85,0.28,1.108075,1.029049,114.3,1.143,0.21
26,Phyllospadix,Removal,After,5.214,0.145,2.295525,0.819038001,170.3,1.703,0.066
27,Phyllospadix,Control,After,4.912,0.26,2.2733,0.841263001,116.4,1.164,0.075
28,Phyllospadix,Removal,After,7.05,0.175,2.3495,0.765063001,240.6,2.406,0.13
29,Phyllospadix,Control,After,3.32,0.16,2.276221,0.838342001,75,0.75,0.125
30,Mytilus,Control,After,5.19,0.135,1.905,1.209563001,158.5,1.585,0.105
31,Mytilus,Control,After,8.794,0.21,1.9685,1.146063001,332.9,3.329,0.1
32,Mytilus,Removal,After,8.546,0.31,1.9939,1.120663001,431,4.31,0.175