PoolID,Before_After,squares
1,Before,361
2,Before,198.5
3,Before,531
4,Before,122.9
5,Before,153.3
6,Before,68.3
7,Before,299
8,Before,88.6
9,Before,645.3
10,Before,204.2
11,Before,106.2
12,Before,255.2
13,Before,416
14,Before,58.3
15,Before,107
16,Before,688
17,Before,110.7
18,Before,503.8
19,Before,543.95
20,Before,464.65
21,Before,217.95
22,Before,403.2
23,Before,159
24,Before,98
25,Before,114.3
26,Before,120.3
27,Before,116.4
28,Before,233.7
29,Before,75
30,Before,158.5
31,Before,332.9
32,Before,320.3
1,After,361
2,After,248.6
3,After,615.2
4,After,122.9
5,After,153.3
6,After,68.3
7,After,308.3
8,After,88.6
9,After,645.3
10,After,220.5
11,After,157.4
12,After,255.2
13,After,416
14,After,58.3
15,After,150.4
16,After,754
17,After,145.3
18,After,503.8
19,After,543.95
20,After,464.65
21,After,273.5
22,After,423.5
23,After,219.4
24,After,130.2
25,After,114.3
26,After,170.3
27,After,116.4
28,After,240.6
29,After,75
30,After,158.5
31,After,332.9
32,After,431