,Day.Response,Day.Predictor,Day.Estimate,Day.Std.Error,Day.DF,Day.Crit.Value,Day.P.Value,Day.Std.Estimate,Day.,Day..1,Night.Response,Night.Predictor,Night.Estimate,Night.Std.Error,Night.DF,Night.Crit.Value,Night.P.Value,Night.Std.Estimate,Night.,Night..1
1,MicroMacroAlgaeCover,PhyllospadixLoss,0.4259,0.1219,28,3.4943,0.0016,0.6542,**,c,MicroMacroAlgaeCover,PhyllospadixLoss,0.4259,0.1219,28,3.4943,0.0016,0.6542,**,c
2,MicroMacroAlgaeCover,SAtoVRatio,-0.6187,0.7051,28,-0.8775,0.3877,-0.1706,,c,MicroMacroAlgaeCover,SAtoVRatio,-0.6187,0.7051,28,-0.8775,0.3877,-0.1706,,c
3,MicroMacroAlgaeCover,TideHeight,-18.6073,21.9307,28,-0.8485,0.4034,-0.1354,,c,MicroMacroAlgaeCover,TideHeight,-18.6073,21.9307,28,-0.8485,0.4034,-0.1354,,c
4,MaxTemp,PhyllospadixLoss,0.0378,0.0116,12,3.2621,0.0068,0.7459,**,,MaxTemp,PhyllospadixLoss,0.0024,0.006,12,0.3967,0.6985,0.1144,,
5,MaxTemp,SAtoVRatio,0.0061,0.0485,28,0.1252,0.9012,0.0216,,c,MaxTemp,SAtoVRatio,0.0061,0.0485,28,0.1252,0.9012,0.0522,,c
6,MaxTemp,TideHeight,2.263,1.5093,28,1.4994,0.1449,0.2114,,c,MaxTemp,TideHeight,2.263,1.5093,28,1.4994,0.1449,0.5114,,c
7,NtoPRatio,PhyllospadixLoss,-0.0224,0.0216,28,-1.0362,0.309,-0.3415,,c,NtoPRatio,PhyllospadixLoss,-0.0224,0.0216,28,-1.0362,0.309,-0.2497,,c
8,NtoPRatio,SAtoVRatio,0.0182,0.1252,28,0.1456,0.8853,0.0498,,c,NtoPRatio,SAtoVRatio,0.0182,0.1252,28,0.1456,0.8853,0.0364,,c
9,NtoPRatio,TideHeight,2.5082,3.893,28,0.6443,0.5246,0.1812,,c,NtoPRatio,TideHeight,2.5082,3.893,28,0.6443,0.5246,0.1325,,c
10,NEP,MaxTemp,0.9803,0.318,26,3.0824,0.0048,0.5123,**,c,NEP,MaxTemp,0.9803,0.318,26,3.0824,0.0048,0.404,**,c
11,NEP,MicroMacroAlgaeCover,-0.0044,0.0212,26,-0.2063,0.8381,-0.0295,,c,NEP,MicroMacroAlgaeCover,-0.0044,0.0212,26,-0.2063,0.8381,-0.0563,,c
12,NEP,NtoPRatio,-0.3001,0.1421,26,-2.1124,0.0444,-0.2028,*,c,NEP,NtoPRatio,-0.3001,0.1421,26,-2.1124,0.0444,-0.5291,*,c
13,NEP,SAtoVRatio,-0.0071,0.0764,26,-0.0928,0.9267,-0.0131,,c,NEP,SAtoVRatio,-0.0071,0.0764,26,-0.0928,0.9267,-0.025,,c
14,NEP,TideHeight,-4.1757,2.8227,26,-1.4793,0.1511,-0.2038,,c,NEP,TideHeight,-4.1757,2.8227,26,-1.4793,0.1511,-0.3889,,c
15,pH,NEP,0.03,0.0079,11,3.8014,0.0029,0.5811,**,,pH,NEP,-0.0106,0.0086,11,-1.2403,0.2407,-0.336,,
16,pH,PhyllospadixLoss,9.00E-04,7.00E-04,27,1.3411,0.1911,0.1797,,c,pH,PhyllospadixLoss,9.00E-04,7.00E-04,27,1.3411,0.1911,0.5594,,c
17,pH,SAtoVRatio,0.0118,0.0037,11,3.2196,0.0082,0.4227,**,,pH,SAtoVRatio,1.00E-04,0.0031,11,0.0242,0.9811,0.0083,,
18,pH,TideHeight,0.0751,0.11,27,0.6829,0.5005,0.071,,c,pH,TideHeight,0.0751,0.11,27,0.6829,0.5005,0.2212,,c
19,NEC,pH,6.3084,1.3719,26,4.5982,1.00E-04,0.7908,***,c,NEC,pH,6.3084,1.3719,26,4.5982,1.00E-04,0.3745,***,c
20,NEC,PhyllospadixLoss,-2.00E-04,0.0062,26,-0.0276,0.9782,-0.005,,c,NEC,PhyllospadixLoss,-2.00E-04,0.0062,26,-0.0276,0.9782,-0.0074,,c
21,NEC,MaxTemp,-0.0286,0.1478,10,-0.1937,0.8503,-0.0363,,,NEC,MaxTemp,0.9936,0.5005,10,1.9852,0.0752,0.7689,,
22,NEC,SAtoVRatio,-0.0663,0.0306,26,-2.1662,0.0396,-0.2978,*,c,NEC,SAtoVRatio,-0.0663,0.0306,26,-2.1662,0.0396,-0.4391,*,c
23,NEC,TideHeight,-1.7173,0.9731,26,-1.7647,0.0894,-0.2037,,c,NEC,TideHeight,-1.7173,0.9731,26,-1.7647,0.0894,-0.3003,,c